# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466380.bam" "SRR24466381.bam" "SRR24466382.bam" "SRR24466389.bam" "SRR24466390.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466380.bam	SRR24466381.bam	SRR24466382.bam	SRR24466389.bam	SRR24466390.bam	SRR24466391.bam
YDL246C	IV	8683	9756	-	1074	0	0	3	0	11	2
YDL243C	IV	17577	18566	-	990	287	415	285	747	448	365
YDR387C	IV	1248154	1249821	-	1668	1460	2288	1374	3266	2517	1944
YDL094C	IV	289572	290081	-	510	6	6	4	31	27	26
YDR438W	IV	1338274	1339386	+	1113	553	912	577	1162	1181	773
YDR523C	IV	1485566	1487038	-	1473	49	49	40	138	28	52
YDR542W	IV	1523249	1523611	+	363	6	8	4	13	8	0
YDR492W	IV	1434924	1435874	+	951	456	662	298	1840	684	1014
YDR018C	IV	482670	483860	-	1191	152	313	277	286	333	136
YDL189W	IV	122216	123589	+	1374	1434	1964	1172	4222	2838	2477
YDR508C	IV	1466453	1468444	-	1992	9872	7383	5255	25884	7183	12536
YDR462W	IV	1386073	1386516	+	444	456	610	415	2256	808	969
YDR175C	IV	813193	814152	-	960	647	1062	714	3411	1562	1710
YDR186C	IV	832859	835492	-	2634	1998	2578	1847	6287	3277	3164
YDR150W	IV	755628	763874	+	8247	2351	3411	4272	7447	5486	3486
YDR243C	IV	948518	950284	-	1767	157	211	165	626	258	307
YDL182W	IV	133437	134723	+	1287	1653	2025	1519	9792	3303	13455
YDR362C	IV	1196679	1198697	-	2019	952	1461	965	2651	1519	1366
YDR232W	IV	927452	929098	+	1647	1396	2098	1236	5773	2290	2478
YDR158W	IV	770357	771454	+	1098	15489	20284	14082	76723	27856	39883
YDR439W	IV	1339676	1340719	+	1044	428	739	453	1349	1086	931
YDL206W	IV	90176	92464	+	2289	1512	2491	1809	2867	3227	1932
YDR125C	IV	701397	702758	-	1362	196	328	258	806	357	401
YDR338C	IV	1147379	1149466	-	2088	768	1134	849	2094	1118	1144
YDR526C	IV	1491075	1491545	-	471	1	0	0	5	4	2
YDR533C	IV	1501447	1502160	-	714	6711	9696	7161	15717	9321	7967
YDR272W	IV	1009010	1009834	+	825	5897	9989	11179	12426	9910	6428
YDR197W	IV	851228	852397	+	1170	636	788	637	2209	1191	1189
YDR512C	IV	1470500	1471063	-	564	4197	6585	6180	9200	6010	5046
YDR489W	IV	1431012	1431896	+	885	268	266	167	972	308	610
YDR299W	IV	1059627	1061231	+	1605	296	395	181	1021	157	661
YDL015C	IV	426002	426934	-	933	8909	11588	5780	20077	10755	10554
YDR304C	IV	1071880	1072557	-	678	11483	15114	9188	24591	15850	11379
YDR271C	IV	1008395	1008766	-	372	4	8	7	5	12	17
YDL181W	IV	135179	135436	+	258	1487	2535	2431	4522	3623	2299
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	2004	2446	1368	3513	2693	2225
YDR085C	IV	614288	616150	-	1863	1076	2035	2567	3028	2770	1108
YDL097C	IV	285391	286695	-	1305	3613	7228	5607	15375	7898	6310
YDL139C	IV	211375	212046	-	672	143	251	111	847	312	455
YDR200C	IV	854279	856093	-	1815	1463	2120	1839	4114	2384	2358
YDR191W	IV	842337	843449	+	1113	185	278	182	1040	417	365
YDR451C	IV	1361120	1362181	-	1062	988	1765	792	2807	1682	1501
YDR469W	IV	1399015	1399542	+	528	11935	16672	15409	15166	16279	10589
YDR470C	IV	1399706	1401214	-	1509	524	834	585	2603	1073	1330
YDR105C	IV	665349	666770	-	1422	3150	4678	2350	7312	5050	3937
YDR483W	IV	1421157	1422485	+	1329	12669	14833	6386	17819	11939	9910
YDL123W	IV	241418	241840	+	423	500	716	303	1142	701	643
YDL199C	IV	101290	103353	-	2064	731	1029	1064	2057	1166	1063
YDR505C	IV	1456695	1459220	-	2526	1488	2895	2442	5769	3148	3168
YDL045W-A	IV	372248	372535	+	288	1134	2049	1255	3796	2735	1904
YDL045C	IV	372688	373608	-	921	1835	3250	2110	4450	3240	2602
YDR361C	IV	1195412	1196263	-	852	591	792	643	2006	589	1521
YDR406W-A	IV	1283799	1284044	+	246	7	11	16	41	15	11
YDR199W	IV	854175	854540	+	366	4	0	0	4	0	10
YDR266C	IV	1000104	1002023	-	1920	1124	1495	1011	3845	1671	1834
YDL242W	IV	18959	19312	+	354	0	3	4	7	9	0
YDR002W	IV	453045	453650	+	606	32436	39415	42467	69256	25434	30600
YDR214W	IV	892875	893927	+	1053	13389	15795	7671	55289	12885	15580
YDR130C	IV	715747	716622	-	876	721	927	734	2527	1196	1408
YDL176W	IV	142097	144223	+	2127	752	1504	1105	2471	1364	1321
YDR358W	IV	1190059	1191732	+	1674	1583	2707	3019	6835	3418	3315
YDR544C	IV	1525095	1525523	-	429	0	0	0	22	8	2
YDR460W	IV	1383811	1384776	+	966	605	768	646	2489	1012	1330
snR84	IV	1492477	1493026	-	550	925	1062	841	1485	1350	1442
YDR034W-B	IV	521314	521469	+	156	2240	2279	3036	963	707	305
YDL028C	IV	400997	403291	-	2295	947	1014	798	2978	1348	1670
YDR061W	IV	574164	575783	+	1620	949	1363	813	4320	1481	1928
YDR060W	IV	570649	573726	+	3078	1639	1740	1530	3504	1361	2618
YDR169C-A	IV	794574	794723	-	150	24	14	12	45	49	37
YDR363W	IV	1199183	1200553	+	1371	359	533	474	1454	988	779
YDR422C	IV	1315326	1317773	-	2448	1388	2193	1175	3151	2559	1742
YDR119W	IV	688227	690533	+	2307	1724	1740	1161	3997	1540	2719
tR(ACG)D	IV	619969	620041	-	73	184	365	548	69	318	120
YDR097C	IV	640109	643837	-	3729	992	954	857	2209	478	1156
YDR042C	IV	540601	541203	-	603	107	117	122	265	80	112
YDL160C	IV	170410	171930	-	1521	773	1009	898	3938	1556	2374
YDR425W	IV	1320064	1321941	+	1878	773	1170	1243	3763	2271	1840
snR13	IV	1402919	1403042	+	124	177	239	487	893	665	1522
YDR228C	IV	921926	923806	-	1881	1044	1286	841	3040	1511	1542
YDR319C	IV	1105003	1105827	-	825	1816	2407	1841	3405	3876	2336
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	29424	30598	26726	70214	25152	37832
YDR089W	IV	622112	624721	+	2610	699	680	437	3888	950	1874
tD(GUC)D	IV	568964	569035	+	72	33	54	34	3	19	27
YDR275W	IV	1012252	1012959	+	708	875	1436	1194	4115	2127	2038
YDR043C	IV	542674	543369	-	696	5083	3675	2962	10672	3812	4027
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	5000	7533	6206	21929	9246	9616
YDR136C	IV	727711	728283	-	573	12	17	15	55	26	36
YDL066W	IV	334835	336121	+	1287	5319	7599	4844	25488	11132	18596
YDR302W	IV	1067731	1068390	+	660	1800	2035	1715	3749	1940	2057
YDR239C	IV	941057	943420	-	2364	506	668	439	1472	766	955
YDR539W	IV	1512094	1513605	+	1512	765	1159	812	3196	1547	1248
tK(CUU)D1	IV	1201750	1201822	+	73	5	10	3	4	1	6
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	9191	10735	7299	17227	10861	8840
YDR493W	IV	1436217	1436588	+	372	486	708	680	1736	935	927
YDR101C	IV	655686	657467	-	1782	319	441	223	1388	304	1011
YDR182W-A	IV	829151	829354	+	204	136	138	153	293	135	100
YDR212W	IV	887232	888911	+	1680	2215	3575	2327	9911	3474	4459
YDR476C	IV	1410453	1411127	-	675	634	889	504	1997	975	888
YDL131W	IV	227393	228715	+	1323	2264	3224	1713	13619	3778	8419
YDR458C	IV	1380055	1382046	-	1992	1623	2476	2093	4604	3105	2447
YDR081C	IV	607304	610081	-	2778	640	1066	571	2536	1274	1363
YDL071C	IV	330666	331040	-	375	22	14	11	108	30	26
YDR113C	IV	680496	681617	-	1122	827	834	554	2780	867	1655
YDR168W	IV	790328	791848	+	1521	3716	6087	10551	14963	6436	5228
YDR520C	IV	1481085	1483403	-	2319	433	748	484	1629	799	866
YDR307W	IV	1075865	1077853	+	1989	1994	3053	1802	4133	2730	2301
YDR265W	IV	998864	999877	+	1014	981	1813	1470	3002	2027	1636
YDL076C	IV	320668	321552	-	885	1006	1409	1095	3779	1832	2198
YDL006W	IV	439909	440754	+	846	1281	1634	1450	3439	2110	1907
YDL086W	IV	301413	302234	+	822	1727	2750	1586	6632	3311	3172
YDR238C	IV	937895	940816	-	2922	2760	3778	2635	9046	3724	4534
YDR077W	IV	600793	601809	+	1017	91431	105915	68788	103331	57811	39983
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	5590	8955	10376	7665	15825	6466
YDL023C	IV	411761	412081	-	321	21	11	18	8	7	20
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	16808	17092	9567	50935	14947	28075
YDR036C	IV	523211	524713	-	1503	434	723	458	1452	777	734
YDR057W	IV	565927	567555	+	1629	1509	2293	1672	3434	2163	1754
YDR513W	IV	1471017	1471448	+	432	7193	10025	9140	20623	11582	9563
